nan,nan_1,nan_2,nan_3,nan_4,nan_5,nan_6,nan_7,nan_8,nan_9,nan_10,nan_11,nan_12,nan_13,nan_14,nan_15,nan_16,nan_17,nan_18,nan_19,nan_20,nan_21,nan_22,nan_23,nan_24,nan_25,nan_26,nan_27,nan_28,nan_29,nan_30,nan_31,nan_32,nan_33,nan_34,nan_35,nan_36,nan_37
Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
Tuxedo Mask,WOCOMPANY_041,SDPLDEAL-084,One time Project,nan,Completed,nan,2025-06-21 00:00:00,Purchase Order,2025-07-01 00:00:00,2025-07-10 00:00:00,OWNER_003,Renewables,Others,NONE,2025-07-04 00:00:00,SDPL/FY25-26/120,215810,254655.80000000002,215810,254655.80000000002,nan,0,0,254655.80000000002,Priority,nan,1,1,0,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Luffy,WOCOMPANY_032,SDPLDEAL-085,One time Project,nan,Completed,nan,2025-06-21 00:00:00,LOA/LOI,2025-06-01 00:00:00,2025-06-30 00:00:00,OWNER_003,Renewables,Thermography,NONE,nan,nan,nan,0,nan,0,nan,0,0,0,nan,nan,1,nan,1,nan,nan,nan,nan,Open,nan,nan,Update Required
Alias_162,WOCOMPANY_052,SDPLDEAL-086,Annual Rate Contract,nan,Completed,nan,2024-07-22 00:00:00,Purchase Order,2024-07-30 00:00:00,2025-07-30 00:00:00,OWNER_001,Mining,Volumetric survey,NONE,nan,nan,710616.20832,838527.1258175999,710616.20832,838527.1258175999,767463.522,0,0,71063.60381759988,Priority,nan,8 units,nan,8,Fully Billed,nan,nan,nan,Closed,nan,nan,nan
Alias_162,WOCOMPANY_052,SDPLDEAL-087,Annual Rate Contract,Dec,Executed until current month,nan,2025-08-08 00:00:00,Purchase Order,2025-04-01 00:00:00,2026-03-31 00:00:00,OWNER_001,Mining,Volumetric survey,NONE,2025-12-09 00:00:00,SDPL/FY25-26/572,1065928.752,1257795.92736,838526.672,989461.4729599999,618232.7568000001,227402.08000000002,268334.4544,371228.71615999984,nan,nan,12 months,nan,12,Fully Billed,nan,nan,nan,nan,nan,nan,nan
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-088,One time Project,nan,Completed,nan,2025-04-26 00:00:00,Purchase Order,2025-04-28 00:00:00,2025-08-15 00:00:00,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-09-03 00:00:00,SDPL/FY25-26/419,154150,181897,154150,181897,166482,0,0,15415.000000000002,nan,nan,200 Acres,nan,200,Fully Billed,nan,September,nan,Closed,nan,nan,nan
Obito,WOCOMPANY_023,SDPLDEAL-089,Annual Rate Contract,nan,Completed,nan,2025-07-09 00:00:00,LOA/LOI,2025-06-21 00:00:00,2026-06-20 00:00:00,OWNER_003,Mining,Others,NONE,nan,nan,0,0,nan,0,nan,0,0,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,Not Billable
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-090,One time Project,nan,Completed,nan,2025-04-15 00:00:00,Purchase Order,2025-05-12 00:00:00,2025-06-20 00:00:00,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-08-06 00:00:00,SDPL/FY25-26/387,223971.3176,264286.154768,223971.3176,264286.154768,264287.092,0,0,-0.9372320000000001,nan,609.44,660.43HA,660.43,0,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Rafiki,WOCOMPANY_048,SDPLDEAL-091,Proof of Concept,nan,Completed,nan,2025-07-08 00:00:00,Email Confirmation,2025-06-11 00:00:00,2025-06-19 00:00:00,OWNER_003,Mining,Thermography,NONE,nan,nan,0,0,nan,0,nan,0,0,0,nan,nan,3 Rooftops,nan,3,nan,nan,nan,nan,nan,nan,nan,Not Billable
Alias_160,WOCOMPANY_051,SDPLDEAL-092,One time Project,nan,Completed,nan,2025-04-10 00:00:00,Purchase Order,2025-05-01 00:00:00,2025-06-25 00:00:00,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06 00:00:00,SDPL/FY25-26/390,357628,422001.04000000004,321686.386,379589.93548000004,347420.61861999996,35941.614,42411.10452,32169.316860000003,nan,2173.17,2000,nan,2000,Fully Billed,nan,August,nan,Closed,nan,nan,nan
Obito,WOCOMPANY_023,SDPLDEAL-093,One time Project,nan,Completed,nan,2025-07-15 00:00:00,LOA/LOI,2025-07-21 00:00:00,2025-07-25 00:00:00,OWNER_003,Mining,Others,NONE,nan,nan,76458.40000000001,90220.91200000001,nan,0,nan,76458.40000000001,90220.91200000001,0,nan,nan,1,nan,1,nan,nan,nan,nan,nan,nan,nan,Update Required
